debug 2025/11/23 13:51:36 cursor: 15; firstVis: 1; vl_firstVis: 1
debug 2025/11/23 13:51:36 cursor: 15; firstVis: 2; vl_firstVis: 2
debug 2025/11/23 13:51:36 cursor: 15; firstVis: 3; vl_firstVis: 3
debug 2025/11/23 13:51:36 cursor: 15; firstVis: 4; vl_firstVis: 4
debug 2025/11/23 13:51:37 cursor: 15; firstVis: 5; vl_firstVis: 5
debug 2025/11/23 13:51:38 cursor: 15; firstVis: 6; vl_firstVis: 6
debug 2025/11/23 13:51:39 cursor: 15; firstVis: 4; vl_firstVis: 4
debug 2025/11/23 13:51:39 cursor: 15; firstVis: 2; vl_firstVis: 2
debug 2025/11/23 13:51:39 cursor: 15; firstVis: 1; vl_firstVis: 1
debug 2025/11/23 13:51:39 cursor: 15; firstVis: -1; vl_firstVis: -1
debug 2025/11/23 13:51:40 cursor: 15; firstVis: -2; vl_firstVis: -2
debug 2025/11/23 13:51:40 cursor: 15; firstVis: -4; vl_firstVis: -4
debug 2025/11/23 13:51:41 cursor: 15; firstVis: -6; vl_firstVis: -6
debug 2025/11/23 13:51:41 cursor: 15; firstVis: -7; vl_firstVis: -7
debug 2025/11/23 13:51:42 cursor: 15; firstVis: -9; vl_firstVis: -9
debug 2025/11/23 13:51:42 cursor: 15; firstVis: -11; vl_firstVis: -11
debug 2025/11/23 13:51:42 cursor: 15; firstVis: -12; vl_firstVis: -12
debug 2025/11/23 13:51:43 cursor: 15; firstVis: -14; vl_firstVis: -14
debug 2025/11/23 13:51:43 cursor: 15; firstVis: -11; vl_firstVis: -11
debug 2025/11/23 13:51:43 cursor: 15; firstVis: -9; vl_firstVis: -9
debug 2025/11/23 13:51:44 cursor: 15; firstVis: -7; vl_firstVis: -7
debug 2025/11/23 13:51:44 cursor: 15; firstVis: -3; vl_firstVis: -3
debug 2025/11/23 13:51:45 cursor: 15; firstVis: -1; vl_firstVis: -1
debug 2025/11/23 13:51:45 cursor: 15; firstVis: 1; vl_firstVis: 1
debug 2025/11/23 13:51:46 cursor: 15; firstVis: 2; vl_firstVis: 2
debug 2025/11/23 13:51:46 cursor: 15; firstVis: 3; vl_firstVis: 3
debug 2025/11/23 13:51:47 cursor: 15; firstVis: 4; vl_firstVis: 4
debug 2025/11/23 13:51:47 cursor: 15; firstVis: 6; vl_firstVis: 6
debug 2025/11/23 13:51:47 cursor: 15; firstVis: 7; vl_firstVis: 7
debug 2025/11/23 13:51:47 cursor: 15; firstVis: 8; vl_firstVis: 8
debug 2025/11/23 13:51:48 cursor: 15; firstVis: 9; vl_firstVis: 9
debug 2025/11/23 13:51:48 cursor: 15; firstVis: 11; vl_firstVis: 11
debug 2025/11/23 13:51:49 cursor: 15; firstVis: 12; vl_firstVis: 12
debug 2025/11/23 13:51:49 cursor: 15; firstVis: 13; vl_firstVis: 13
debug 2025/11/23 13:51:50 cursor: 15; firstVis: 9; vl_firstVis: 9
debug 2025/11/23 13:51:50 cursor: 15; firstVis: 5; vl_firstVis: 5
debug 2025/11/23 13:51:50 cursor: 15; firstVis: 4; vl_firstVis: 4
debug 2025/11/23 13:51:50 cursor: 15; firstVis: 1; vl_firstVis: 1
debug 2025/11/23 13:51:51 cursor: 15; firstVis: -2; vl_firstVis: -2
debug 2025/11/23 13:51:51 cursor: 15; firstVis: -5; vl_firstVis: -5
debug 2025/11/23 13:51:59 firstVisibleLine: 1
debug 2025/11/23 13:52:07 firstVisibleLine: -2
debug 2025/11/23 13:52:07 firstVisibleLine: -1
debug 2025/11/23 13:52:08 firstVisibleLine: 0
debug 2025/11/23 13:52:08 firstVisibleLine: 1
debug 2025/11/23 13:52:18 cursor: 0; firstVis: 0; vl_firstVis: -3
debug 2025/11/23 13:52:19 cursor: 0; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:19 cursor: 0; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:22 cursor: 0; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:24 cursor: 0; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:31 cursor: 0; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:32 cursor: 0; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:32 cursor: 0; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:33 cursor: 0; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:33 cursor: 0; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:33 cursor: 0; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:52:34 cursor: 0; firstVis: 0; vl_firstVis: 0
